Draw,Date,Weekday,Winning Number 1,2,3,4,5,6,Extra Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
25/060,2025-06-01,Sunday,12,16,28,29,38,47,26,16,2,4,2,4,0,2,2,1,1,1,8000000,2.5,576920,51.5,74680,198.4,9600,3095.7,640,5972.4,320,61258.2,40,39463091
25/059,2025-05-29,Thursday,5,6,16,21,24,35,33,6,5,1,3,3,2,1,2,1,0,1,55487500,10.5,555150,330,47100,673.5,9600,14939.9,640,19969,320,270614.2,40,159379031
25/058,2025-05-24,Saturday,6,14,15,19,45,47,17,,4,2,4,2,1,3,0,0,2,0,0,1,2453370,97,67440,203,9600,4055.7,640,6081.5,320,82650.6,40,61862642
25/057,2025-05-22,Thursday,4,11,26,29,34,35,18,34,2,4,3,3,1,1,2,2,0,0,0,1.5,1343680,82,65540,241.2,9600,5357.7,640,7432.3,320,99968.2,40,55888551
25/056,2025-05-20,Tuesday,10,15,28,31,34,40,48,34,2,4,2,4,1,1,1,3,0,0,0,1,2213000,82,71960,177.5,9600,4056.1,640,5085.5,320,77910.2,40,56058899
25/055,2025-05-17,Saturday,12,22,27,29,32,34,9,"12,29,32,34",2,4,2,4,0,1,3,2,0,0,0,3.5,424930,115,34480,243,9600,6259.9,640,6055.8,320,76235.1,40,44203057
25/054,2025-05-15,Thursday,6,12,29,32,34,46,16,,2,4,1,5,1,1,1,2,1,0,0,4,400110,53.5,79770,218,9600,3363.5,640,5099,320,64865.9,40,42944184
25/053,2025-05-13,Tuesday,13,26,27,41,45,49,46,"26,49",1,5,5,1,0,1,2,0,3,0.5,6612580,1,1741720,54.5,85220,113,9600,2680,640,3935,320,55980.2,40,43101551
25/052,2025-05-11,Sunday,19,26,28,29,46,49,32,,1,5,3,3,0,1,3,0,2,0,0,2,785240,84.5,49560,139,9600,3575,640,4115,320,65844.1,40,41219606
25/051,2025-05-08,Thursday,6,11,17,22,27,43,24,,4,2,4,2,1,2,2,0,1,1,13858970,0.5,768400,143.5,28550,229.5,9600,5767.5,640,6812.6,320,90709.9,40,45674138
25/050,2025-05-06,Tuesday,12,15,25,26,29,41,42,,2,4,4,2,0,2,3,0,1,0.5,7424985,0,0,116,41920,164,9600,3739.6,640,4412.5,320,71499.5,40,47173705
25/049,2025-05-03,Saturday,18,20,30,35,47,49,44,47,2,4,3,3,0,2,1,1,2,0,0,0,0,42.5,86540,125,9600,2674.5,640,3363,320,51661.3,40,35458033
25/048,2025-05-01,Thursday,4,7,21,32,41,47,28,"21,32",3,3,4,2,2,0,1,1,2,1,34540820,1.5,1647530,98.5,66900,269,9600,5727.5,640,7670.7,320,102818.7,40,65980478
25/047,2025-04-29,Tuesday,20,21,24,30,32,38,47,21,3,3,1,5,0,1,3,2,0,0,0,0,0,82,70690,163,9600,6522.4,640,5299,320,95041.2,40,57992137
25/046,2025-04-26,Saturday,11,15,18,21,29,40,8,21,4,2,4,2,0,3,2,1,0,0,0,4,433860,81.5,56780,253.1,9600,3642.3,640,7401.4,320,75520.3,40,47765614
25/045,2025-04-24,Thursday,12,16,21,35,44,48,32,,3,3,2,4,0,2,1,1,2,0,0,3,580590,52.5,88470,150,9600,2890.5,640,4562.5,320,57224.4,40,44023948
25/044,2025-04-22,Tuesday,3,7,11,20,23,27,29,11,5,1,5,1,2,2,2,0,0,0,0,3,257460,233,19200,394,9600,7784.2,640,7386.5,320,103319.8,40,38477470
25/043,2025-04-19,Saturday,1,11,24,37,45,49,22,,3,3,5,1,1,1,1,1,2,1.5,34252320,5,891890,209.5,56760,675,9600,11404.7,640,18134.2,320,206982.6,40,124952608
25/042,2025-04-15,Tuesday,10,20,21,22,23,42,49,21,5,1,2,4,1,1,3,0,1,0.5,4000000,0.5,748050,112,35620,173.5,9600,4181.5,640,4102.5,320,65769.1,40,40599438
25/041,2025-04-12,Saturday,19,21,34,36,47,49,14,,2,4,4,2,0,1,1,2,2,1,18481150,2,925330,62.5,78960,130.5,9600,3316,640,4427.7,320,63032.1,40,46569726
25/040,2025-04-10,Thursday,11,22,23,26,32,35,2,11,3,3,3,3,0,1,3,2,0,0,0,1.5,1095360,79.5,55110,189.5,9600,4187.6,640,5871.4,320,73760.2,40,44872418
25/039,2025-04-08,Tuesday,11,17,20,27,36,48,21,11,3,3,3,3,0,3,1,1,1,0,0,1.5,1010930,57,70940,230.5,9600,3402.7,640,5569.2,320,62987.4,40,41516518
25/038,2025-04-05,Saturday,7,11,22,26,39,44,8,7,3,3,3,3,1,1,2,1,1,1,27684470,3,617140,114.5,43110,315.7,9600,5481,640,8952.9,320,92888.1,40,53806580
25/037,2025-04-03,Thursday,2,4,7,29,32,40,44,,3,3,2,4,3,0,1,2,0,0,0,0,0,95.5,52110,178,9600,5492.5,640,5380.5,320,97863.5,40,51300798
25/036,2025-04-01,Tuesday,6,14,17,30,35,42,49,,3,3,2,4,1,2,1,1,1,0,0,0.5,952060,63.5,79960,148.5,9600,3534.4,640,4521,320,67088.9,40,48279928
25/035,2025-03-29,Saturday,3,5,12,13,45,47,46,47,4,2,5,1,2,2,0,0,2,0,0,1,1368740,58.5,62390,156.5,9600,3145,640,3961,320,64642.2,40,36880173
25/034,2025-03-27,Thursday,10,19,35,44,47,49,15,,2,4,4,2,1,1,0,1,3,1,22766170,3.5,616980,79.5,72430,178,9600,4679.5,640,5384.7,320,81757.9,40,55787536
25/033,2025-03-25,Tuesday,8,11,17,36,43,48,25,36,3,3,3,3,1,2,0,1,2,0,0,1,2054550,68,80570,240.5,9600,3830.5,640,6168.7,320,78053.4,40,53861448
25/032,2025-03-22,Saturday,12,23,24,27,36,46,43,24,3,3,2,4,0,1,3,1,1,0.5,8231365,0,0,108,46730,154,9600,4410.6,640,4384,320,84615.1,40,49630505
25/031,2025-03-20,Thursday,16,20,21,24,39,43,34,24,4,2,3,3,0,2,2,1,1,0,0,1,1768010,43,109640,126.5,9600,2670.5,640,4086.5,320,55182.3,40,43808218
25/030,2025-03-18,Tuesday,6,8,24,26,29,45,39,29,3,3,2,4,2,0,3,0,1,0.5,4000000,0,0,88.5,44600,144,9600,3978.3,640,4592.4,320,73763.1,40,40359983
25/029,2025-03-16,Sunday,29,30,36,41,48,49,14,29,0,6,3,3,0,0,2,1,3,1,72097390,3,1715040,149,92080,438.5,9600,9407,640,12418,320,178501.4,40,130729742
25/028,2025-03-13,Thursday,4,16,19,21,26,29,13,"4,21",4,2,3,3,1,2,3,0,0,0,0,8.5,416330,164.5,57360,427.2,9600,8513.5,640,11100,320,150353.3,40,95434162
25/027,2025-03-11,Tuesday,1,4,9,14,21,37,45,,5,1,4,2,3,1,1,1,0,0,0,3,981570,215.5,36430,377.5,9600,10935.1,640,10521.5,320,171923.4,40,85580382
